@relation wilt-training

@attribute GLCM_pan real
@attribute Mean_Green real
@attribute Mean_Red real
@attribute Mean_NIR real
@attribute SD_pan real
@attribute class {w, n}

@data
107.5769,213.3077,90.7692,514.1538,45.3482,n
127.7658,187.0000,82.3571,310.1429,15.4439,n
124.0185,170.9273,69.0727,217.8364,13.3373,n
132.2993,203.4074,90.0000,495.4074,36.9438,n
153.5417,204.0000,87.0000,452.0000,1.6997,n
125.7394,169.2030,69.4162,206.4112,7.4125,n
140.8571,175.7500,79.9167,293.0000,6.0156,n
132.5920,164.6829,68.6829,177.8976,8.1237,n
138.2404,198.2500,87.0556,445.3889,27.2641,n
136.2506,191.6863,87.1765,441.7647,20.3908,n
130.0114,199.1818,95.2727,520.6364,12.1866,n
120.8721,226.3871,101.7097,746.8065,16.6827,n
144.3397,174.4000,77.6500,302.1000,10.0673,n
106.3438,231.8000,111.8000,726.4000,28.6672,n
141.3507,224.4444,107.1111,668.6667,30.0639,n
128.1772,206.5000,94.4375,456875.0000,23.2244,n
127.4793,206.8182,93.5909,525.4318,18.7948,n
130.7666,217.0000,97.4000,648.4000,24.6769,n
123.8545,213.2727,100.5682,645.2727,34.3184,n
122.6736,183.3333,80.6667,390.7778,20.0838,n
119.1488,200.0000,93.5238,488.6190,29.7945,n
111.1507,193.0588,88.3529,493.8235,33.4662,n
109.6389,206.5556,97.6667,463.5556,20.2594,n
127.9186,218.8723,98.0851,679.5745,19.8054,n
135.1840,177.0000,78.5000,406.4412,16.3119,n
138.2338,214.4186,97.4419,730.8140,26.1427,n
136.7596,195.6957,89.5217,511.2609,15.8333,n
93.6875,220.8571,99.7143,677.0000,8.7295,n
106.3558,218.6296,99.4815,719.5926,19.9242,n
139.2340,211.0000,99.7778,588.6667,18.6673,n
183.2813,204.0000,96.5000,475.5000,1.0000,n
113.9808,188.7222,82.0833,456.0000,16.6258,n
98.4196,210.2857,97.5714,628.0000,17.7798,n
149.3125,206.6667,94.8333,607.6667,27.3734,n
125.5691,222.7073,101.4390,775.1341,21.6428,n
111.4447,206.5862,94.3448,631.7931,25.2009,n
109.2083,220.0000,95.0833,757.4167,19.7287,n
139.4977,201.2143,88.0714,568.2143,22.3229,n
130.8579,201.7778,88.0667,471.8444,16.2185,n
141.5764,213.0000,90.7778,721.7778,40.4722,n
106.2895,197.5000,86.5000,541.5000,27.5785,n
133.6122,178.5000,73.8158,347.2895,18.8365,n
140.3920,204.0000,96.0000,583.0000,21.8594,n
134625.0000,216.9286,98.7143,714.7143,12.6136,n
142.6818,210.2778,93.9444,628.3333,25.6585,n
139.6591,211.5455,91.3636,679.8182,13.6145,n
140.7500,213.6842,95.2105,756.3684,10.7276,n
138.6500,203.2000,88.0000,641.2000,39.8527,n
143.2411,186.7143,82.8571,467.5714,27.1022,n
130.5917,192.7800,85.4000,540.5000,24.0794,n
117.6017,220.9545,103.1364,673.1818,10.2498,n
112.6611,212.4000,94.6000,773.6000,24.3389,n
122.0627,213.2857,95.1429,557.0000,22.6791,n
124.7519,229.6471,109.2353,806.1765,6.4946,n
122.1882,200.3333,90.0000,631.0000,22.2150,n
136.5430,200.5789,85.1053,450.7368,16.1214,n
123.2923,205.6957,91.1739,481.0870,17.8040,n
100.3608,230.2000,105.8000,821.6000,17.0590,n
113.2763,195.0000,84.5417,467.4167,27.2759,n
127.6761,221.4545,103.0909,768.4545,28.9899,n
92.7625,206.4000,98.0000,717.2000,26.2298,n
119.0585,227.7288,106.5085,744.3729,19.1598,n
94875.0000,223.2500,102.2500,753.5000,13.1601,n
111.3000,199.7000,88.9000,612.6000,23.3369,n
159.8672,196375.0000,87625.0000,469.0000,17.3331,n
162.1000,221.0000,99.0000,612.0000,11.7576,n
143.0000,210.8421,99.6316,717.8947,37.0988,n
132.8738,198.9231,96.1538,549.5385,26.3239,n
148.6532,192.9286,89.7143,528.8571,17.5530,n
124.5422,214.1837,101.1224,575.7755,20.1981,n
121.1291,220.4211,107.7895,767.0000,23.2231,n
121.1818,203.1818,93.6364,592.4545,45.6155,n
137.7177,201.2973,92.7568,484.9730,20.5468,n
126.6406,221.7500,101.2500,591.0833,12.2667,n
128.5195,192625.0000,86.3125,589.2500,18.7382,n
116.9836,224.5000,102.1905,663.2381,20.1601,n
135.9144,212.5714,97.7143,677.8571,27.0513,n
116.9404,201.1579,88.3158,639.0526,13.9051,n
119.4849,199.6522,85.0000,545.2609,47.9578,n
111.9811,202.1765,92.1471,680.1176,10.8105,n
118.0435,205.5476,93.1667,625.6667,36.9376,n
130.6771,174.9880,75.2651,312.7349,12.1418,n
131.5012,200.8889,83.2222,631.4815,28.3614,n
117.6946,197.9388,88.0204,604.8571,17.2092,n
117.4052,183.0000,76.8235,399.4118,21.0518,n
130.2862,193.7586,83.6207,522.5345,28.6482,n
149.5547,201.0000,94.5000,629.5000,25.7800,n
133.2335,181.3636,75.8182,390.7500,12.3468,n
110.2882,199.2778,82.2222,622.0556,34.9162,n
136.4488,204.4375,94.0000,665.7188,23.8471,n
120.5000,195125.0000,84.1875,558.7500,39.4715,n
136.5946,183.1905,78.7143,444.8571,13.1930,n
133.2382,194.0357,83.2143,554.0714,19.8115,n
130.2469,183.1964,79.4821,440.2679,13.2611,n
140.9843,186.5000,86.5000,476.0000,23.0051,n
125.5214,202.9189,88.2162,575.3243,21.0822,n
112.0278,211.0435,92.2174,634.4348,23.2353,n
118.9046,196.5455,81.6061,516.4242,26.5605,n
119.5430,195.3091,87.3636,519.3455,21.7074,n
130.5118,205.0000,86.0000,641.0000,10.6880,n
136.3244,190.5070,80.7746,439.2817,15.0126,n
127.3075,178.0615,72.9692,352.4308,22.0844,n
141.5547,195.4375,86.0000,492.5625,25.6855,n
147.5476,187.7500,88.2500,561.5000,8.1509,n
117.4400,194.5370,87.1667,448.9630,9.4845,n
126.9343,194.9524,90.6190,493.2381,24.0700,n
99.8542,189.2222,89.0000,521.6667,18.2966,n
120.3118,190.4375,83.0625,431.9792,17.1146,n
140.2558,181.8947,75.3158,410.2105,16.0795,n
142.8108,187.3611,80.1667,442.9444,16.4448,n
148.9125,181.0000,78.2000,451.4000,18.6550,n
113.1875,184.8000,74.6000,383.7000,24.9768,n
137.1494,186.4138,80.1034,392.6207,17.1080,n
108.1392,181.0000,86.4000,453.8000,27.7281,n
137.1146,187.7500,74.9167,493.0833,15.9574,n
133.4284,190.5714,87375.0000,586.0536,21.8270,n
100.3229,185.6667,77.0000,527.0000,19.9951,n
146.2721,187.2941,81.3529,547.4118,14.9900,n
133.4800,196.8621,85.2931,580.0862,15.1002,n
118.5539,195.5294,85.7059,505.1176,36.0167,n
147.2183,183.6667,84.6667,420.2222,13.1130,n
95.5313,197.1000,87.7000,565.1000,18.0557,n
125.3181,182.8636,76.6818,449.7273,14.3170,n
113.9437,193.3448,86.4828,596.3103,17.2795,n
116.4703,194.8649,88.9459,599.4324,24.1064,n
134.4732,195.7857,85.3571,526.2857,26.2664,n
139.8956,191.7000,78.4000,456.3000,12.6668,n
128.8209,177.9259,71.0741,296.0556,12.1533,n
120.3121,189.2000,82.2000,418.1000,34.4977,n
119.8853,184.4571,81.5143,468.5429,35.3336,n
113.0469,253.0364,118.5455,794.9273,27.2098,n
140.2851,253.7143,117.1905,777.6667,23.2145,n
117.3193,257.0278,121.7778,756.3611,18.7253,n
109.4871,246.2759,122.3448,824.1724,21.5789,n
115.2065,251.7292,120.5000,763.1667,15.3269,n
116.0144,254.0000,124.8947,813.4386,10.7882,n
138.2986,256.4878,123.3902,805.9024,18.9446,n
141.5547,252.0000,115.7500,696.2500,21.9872,n
127.2665,245.4286,114.7460,786.9365,19.6868,n
133.1407,228.2703,103.6486,632.7568,31.1001,n
118.0975,251.6800,120.4800,766.2000,31.5343,n
109.4688,216.5000,104.0000,611.0000,18.2201,n
135.0353,194.7292,82.9792,414.8542,17.7545,n
124.2292,210.3333,110.6667,457.0000,17.2111,n
135.2090,202.6182,94.7091,388.0182,27.4927,n
126.7185,215.4118,102.8235,610.0588,38.7958,n
117.8711,198.7000,82.0000,433.8000,18.3529,n
148.0469,196.7500,94125.0000,481.0000,18.3898,n
125.8307,216.3922,100.5490,532.1373,22.4616,n
134.2366,209.2979,93.3830,580.5319,28.8360,n
111.8743,193.6667,93.5000,484.8333,28.3062,n
112.4500,246.2000,114.0000,699.6000,25.8952,n
149.7500,245.0000,113.5000,685.5000,27.5000,n
118.0938,200.0000,95.5000,518.0000,22.0000,n
122.8229,237.8571,111.8929,615.7143,17.3399,n
140.6667,208.7143,98.1429,484.4286,15.3994,n
137.1984,215625.0000,99125.0000,464625.0000,24.0205,n
112.7567,184.0000,79.3684,375.4211,26.5157,n
112125.0000,209.4400,93.4000,637.0800,31.0394,n
109375.0000,202.0000,82.0000,302.0000,16.4981,n
127.6413,225.3647,100.7529,669.6353,25.8941,n
137.1002,212.8448,95.8793,600.5862,29.6896,n
132.8656,196.9223,84.8738,388.7476,14.8528,n
108.5455,214.3636,91.6364,589.0909,13.6678,n
97.3830,228.3889,103.6111,674.0000,7.3979,n
122.8067,207.9737,90.0000,421.4211,17.3656,n
142.7024,221.1818,93.0000,538.3636,11.5780,n
133.1937,220.3333,97.0000,587.3333,12.3116,n
106.7883,226.7143,103.1429,674.5000,26.8774,n
110.6646,197.5000,86.5000,459.0000,15.9941,n
119.3621,223.0690,100.2069,569.5172,25.0716,n
143.9327,215.8929,93.4643,645.6786,31.5968,n
156.0833,228.0000,103.0000,725.0000,24.8289,n
136.0900,221.3158,98.4737,507.0526,13.4613,n
113.4076,223.4634,97.4390,716.1707,24.9201,n
124.1114,222.4773,96.7727,495.9773,18.4084,n
108.9929,232.6667,109.2222,763.1111,16.1838,n
139.4313,216.5000,96.5000,724.5000,11.8326,n
127.4291,189.6111,81.4259,318.9815,18.3243,n
109.4970,223.5714,101.9524,645.5714,18.0351,n
141.2042,220.0000,101.6000,643.6667,37.4180,n
147.5482,188.7895,82.7368,302.6842,11.6274,n
116.6030,226.7308,103.3205,677.6410,20.6718,n
114.6722,194.1579,87.6316,338.4211,15.1886,n
140.2633,233.6970,105.1818,717.0909,33.2643,n
99.2722,234.6000,96.8000,676.0000,23.5510,n
130.2298,192.5200,88.2000,367.4800,13.0491,n
126.5313,193.0500,87.3500,422.1000,17.3213,n
129.1868,224.0405,101.8243,591.9595,16.8011,n
121.0208,230.8667,104.2667,605.7000,21.8197,n
96.5789,249.1579,111.2632,763.8421,20.5093,n
116.6321,243.2571,111.0571,705.1714,23.6302,n
116.4297,226125.0000,106.0000,640725.0000,27.1030,n
132.1189,201875.0000,90825.0000,385175.0000,23.0716,n
120.2744,247.1029,117.0147,823.9853,27.2588,n
119.8019,229.5385,104.3846,655.0769,36.6843,n
113.0833,215.2222,96.2222,552.2778,25.2929,n
137.9252,236.6875,106.5000,754.7500,34.5649,n
139.8264,238.5556,109.1111,762.3333,45.2911,n
135.1292,207.5068,95.8767,414.3699,17.4991,n
147.4540,202.6364,96.4091,549.7727,19.9303,n
132.5322,219.1628,101.6977,682.5116,24.2077,n
139.7402,217625.0000,103.5000,640.0000,33.5613,n
124.5382,191.4211,79.3684,299.5263,12.2915,n
110.6021,207.4583,93.1667,456125.0000,14.4143,n
134.4944,203.8235,92.0294,564.6176,19.2283,n
156.4375,237.8571,112.7143,828.1429,19.5573,n
97.8205,222.2000,97.4000,668.8000,19.4669,n
140.5243,224.8333,97.6667,624.1111,28.3779,n
132.2569,233.0000,106.6667,616.3333,17.8512,n
146.9167,251.3333,113.2000,770.9333,31.8773,n
136.8451,224.1111,106.4444,651.2222,22.0151,n
141.2090,189.8235,81.6471,279.3529,13.4110,n
143.4301,222.1176,95.1765,498.7647,14.9710,n
116.2427,206.1282,93.3077,450.6282,17.3318,n
158.6787,208.2857,94.5000,438.0714,8.3620,n
127.6563,203.1000,88.5000,420.5000,39.2261,n
134.9063,221.4000,100.0000,613.8000,14.3931,n
103.1797,215.2500,98.2500,566.2500,28.3127,n
119.3423,227.5714,106.7143,717.8571,28.6050,n
138.8103,222.4872,100.0000,581.2821,34.0735,n
114.9902,213.7813,91.4063,587.6875,31.7834,n
137.5505,203.5116,86.1163,431.9767,19.0669,n
134.9196,206.1429,89.0952,480.4286,12.6928,n
113.6731,205.3077,95.6923,550.0769,22.1028,n
100.2375,214.6000,100.4000,603.8000,11.6258,n
116.5894,219.5385,90.4615,559.3462,20.4745,n
126.8281,232.7500,101.2500,636.7500,19.7025,n
106.9429,252.4783,114.0870,792.2609,14.3757,n
125.4906,255.3158,118.7018,814.7193,21.5536,n
140.5398,243.6364,105.5455,749.8182,37.5599,n
112.1016,236.5000,103.0000,742.5000,17.0595,n
143.2063,207.2000,87.4000,413.4000,15.2869,n
128.5853,201.6042,94.6667,454.6458,20.6376,n
117.2566,242.8684,112.5263,798.5000,11.0367,n
123.3444,208.2353,92.3529,474.7647,39.0215,n
155.0625,220.0000,98.0000,555.0000,10.4987,n
113.5913,216.1538,90.0000,474.5385,27.0133,n
113.8162,218.2353,103.2941,655.0588,16.8974,n
126.1192,231.5333,110.9000,735.0667,15.5107,n
138.8807,209.5600,89.9600,526.4400,29.7281,n
137.6374,192.7500,85.4643,426.2143,15.2598,n
115.0240,226.4231,101.3846,709.6154,27.1351,n
148.9625,220.6000,99.8000,663.2000,18.1108,n
132.8015,203.0000,85.7692,451.7308,10.2482,n
120.5167,217.5333,104.0667,463.6000,12.3548,n
139.2215,196.5806,83.5484,444.4194,17.2850,n
115.0640,214.7843,98.9216,662.2353,33.2339,n
129.2887,217.8667,106.6000,585.4000,16.9134,n
121.9414,207.0625,96.8125,637.7500,18.7532,n
114.5850,229.3415,104.0488,683.3659,27.2905,n
140.6143,210.5000,92.5909,564.5000,30.2767,n
138.6646,210.0000,99.0000,657.0000,42.2038,n
134.6673,225.4706,100.2941,654.4706,29.7722,n
118.0625,195.4000,85.8000,489.0000,15.5512,n
160.0625,237.6667,107.0000,771.3333,18.6607,n
88.9911,218.4286,103.2857,617.0000,9.0079,n
132.7054,214.8571,99.3571,581.5000,31.9115,n
131.3762,222.3500,102.8000,621.7500,41.4197,n
112.5729,217.2800,103.0800,651.0000,29.1905,n
121.0368,215.9583,101.2500,617625.0000,23.5589,n
129.4719,206.0000,93.5500,570.0500,24.9141,n
111.9958,229.4000,100.8000,632.0667,18.5855,n
129.1319,231.2222,104.0000,552.5556,7.9598,n
136.3264,218.5556,99.1111,712.7778,16.9909,n
132.1958,246875.0000,110875.0000,804875.0000,20.5724,n
135.5193,200.4444,90.8056,515.8889,12.6614,n
122.9114,203.0000,91.0000,517.0000,26.0699,n
113.0881,236.0000,100.7895,726.4211,17.1566,n
140.3600,219.3636,99.4545,615.9545,33.7251,n
118.4348,213.3793,99.2759,641.7241,28.0632,n
132.5537,208.7391,94.3043,583.3913,20.6044,n
156.5868,250.0000,117.5000,811.7778,9.2496,n
126.8679,218.2381,102.0000,663.5714,32.2062,n
99.4583,245.2222,117.7778,788.3333,6.7073,n
156.2911,215.5000,97.9000,619.6000,12.8359,n
131.7188,219.5000,96.2500,653.2500,30.8557,n
138.8068,202.0000,86.5455,447.0000,27.2159,n
117.0293,194.4615,82.7692,441.2308,46.7495,n
105.6719,229.1667,104.8333,791.0000,21.2929,n
133.8514,236.4091,107.6818,796.2273,28.9716,n
133.4469,210.9500,90.3000,559.4500,31.3711,n
109.4568,209.1000,94.5000,562.6667,25.5222,n
140.9045,195.3000,85.7000,498.0000,12.9247,n
130.9792,220.9167,99.0833,649.2500,16.6950,n
123.8257,218.2973,99.8378,650.7838,24.9553,n
138.9563,209.6000,96.2000,508.4000,11.6859,n
130.6911,237.1356,112.2373,786.4068,23.9200,n
105.6449,242.8182,112.1818,762.0000,35.8620,n
137.0923,205.8868,90.7925,562.2264,24.1309,n
111.9646,199.8125,90875.0000,520.5625,29.5703,n
138.9543,211.2727,91.3636,549.6364,24.5535,n
141.5625,214.2500,101.1000,717.3000,36.6419,n
109.5848,234.7714,110.6286,819.6857,19.5577,n
113.5538,234.3571,103.5857,723.4571,30.2814,n
110.5632,235.5000,101.3333,774.3333,16.6975,n
126.2342,239.0000,106.7049,778.7541,20.0837,n
141.5591,201.0000,86.0000,467.5000,27.8003,n
138.1435,186.8000,83.8000,351.0000,15.8879,n
141.3804,211875.0000,96.2500,621.9375,15.7796,n
124.6641,222.9167,102.0833,764.5833,29.6070,n
143.6142,240.6207,105.6552,742.0345,43.2621,n
101.7000,227.0000,105.0000,697.0000,38.5819,n
122.0451,217.9600,100.2000,617.2800,19.1797,n
111.0245,238.9130,108.6957,777.6957,21.1931,n
144.1615,187.6667,88.8333,422.7500,16.6906,n
147.1262,239.8462,104.8846,804.4231,24.1837,n
135.3473,193.0476,91.3333,459.0000,17.7432,n
122.0505,246.3827,113.9383,851.4074,23.5376,n
125.6875,232.6364,104.5455,700.7273,15.1314,n
142.7083,235.4815,106.2593,702.5556,28.7157,n
141.5360,217.2727,98.1364,572.1818,7.9658,n
137.0917,229.6667,106.3333,724.3333,29.4751,n
114.1654,235.2500,105125.0000,747375.0000,34.6193,n
138.4565,218.4783,97.1739,666.2609,27.8737,n
115.7314,235.3333,107.9216,728.3333,27.2656,n
123.9016,225.0000,100.7000,594.6500,25.8220,n
108.9628,231.8148,107.4444,713.4444,21.9038,n
117.8177,235.3590,111.2821,873.2564,21.8631,n
121.3021,225.5000,102.1667,773.3333,32.3041,n
124.3459,223.0842,100.0105,665.1053,25.5837,n
132.0211,221.4444,103.0000,764.0000,24.1175,n
122.9924,244.0800,111.3200,732.4000,20.3519,n
142.2292,238.1667,113.1667,917.5000,12.5355,n
134.2989,214.1304,95.9565,629.5652,31.0582,n
124.9606,204.0000,97.5000,498.0000,13.0570,n
89.0875,230.0000,99.8000,739.2000,10.2450,n
128.0239,243.0000,112.2500,827.5000,14.8571,n
133.0538,216.2857,102.5714,537.1429,20.7798,n
127.4832,242.4000,110.2667,785.1333,25.6901,n
152.6528,231.2222,111.0000,778.8889,22.1983,n
123.0676,233.8846,111.3462,789.6538,23.7391,n
145.6154,243.6154,115.9231,816.4615,29.4604,n
114.5122,229.2778,107.3333,743.1667,25.4309,n
153.4922,208.7500,91.0000,501.7500,15.7911,n
141.9107,232.0000,100.4286,679.1429,39.1788,n
148.8958,229.0000,106.0000,751.0000,30.0980,n
138.8091,237.1429,108.2857,737.8571,34.8823,n
143.0096,216.3077,106.9231,537.0769,27.2510,n
150.5357,223.1429,101.2857,655.4286,27.7768,n
115.5268,211.0000,91.0000,465.0000,37.7489,n
119.2969,229.1667,108.0833,660.2500,34.2231,n
137.7891,218.0000,93.2500,543.7500,13.1053,n
126.9896,214.4000,98.5667,563.1000,31.1694,n
144.9554,216.8571,99.5714,622.1429,24.6706,n
124.3360,235.6667,115125.0000,642125.0000,26.9367,n
113.9712,231.1154,104.7692,670.8846,32.2433,n
130.5982,217.0286,91.3143,560.6571,24.1242,n
109.8042,226.3333,102.4667,662.3333,17.1145,n
145.4688,219.2000,105.8000,695.8000,15.1803,n
136.2387,224.5714,100.8571,664.1429,22.7120,n
165.1972,218.1111,98.0000,655.8889,22.4202,n
157.8594,215.5000,91.7500,571.7500,15.2049,n
116.3109,210.1379,89.7931,574.2414,22.3355,n
94125.0000,247.0000,123.0000,865.0000,14.1539,n
145.1780,218.4667,102.4000,571.5333,27.5168,n
71.7188,209.0000,97.0000,565.0000,7.0000,n
112.6912,225.9615,102.4231,666.6731,34.0465,n
108.5938,232.9000,99.5000,671.2000,30.4506,n
131.8386,227.6421,104.5053,655.7474,23.5537,n
142.3403,212.0000,86.6667,552.8889,30.7303,n
139.8559,217.8571,90.8571,569.8571,31.9982,n
110.2153,220.1667,105.5000,671.6667,18.2682,n
148625.0000,221.0000,98.1429,663.2857,30.3476,n
105.8725,220.7692,101.7692,686.5385,27.0629,n
137.4500,228.2000,105.9000,659.4000,20.5961,n
117.4779,212.4118,104.4706,611.1176,34.9798,n
131.0538,244.4286,117.8571,767.7857,13.0353,n
137.2830,239.0000,117.0000,709.1000,37.1576,n
134.6175,211.5714,94.1905,626.0952,19.4199,n
119.1309,232.5833,110.3333,675.1667,26.5690,n
127.5622,229.0631,101.1532,764.1261,28.5297,n
120.7116,247.3922,111.3333,851.3137,16.8995,n
129.4587,215.8085,97.4681,589.8298,24.5896,n
129.4252,184.7212,81.2212,373.3077,19.0615,n
140.2958,184.0370,75.9259,291.9630,9.0527,n
142.4954,210.4286,93.2857,543.1429,24.3126,n
140.4091,225.6667,109.1111,690.1111,29.5144,n
138.9635,207.2917,90625.0000,472.2500,21.2001,n
138.9006,208.2927,93.8293,503.3659,23.3985,n
131.1426,195.1000,88.3667,461.4000,24.2219,n
114.9010,212.1667,102.5000,560.6667,27.2135,n
120.8015,216.4000,98.3600,613.9200,31.7566,n
129.1302,221.9444,99.9444,651.6111,22.7724,n
113.2599,217.6316,96.9211,562.0263,24.9576,n
149.8229,223.4167,102.1667,610.4167,21.9754,n
105.8125,198.0000,83.0000,413.0000,12.2182,n
126.9816,201.6471,89.3824,487.2353,19.7879,n
138.3841,206.1786,98.6429,527.8214,18.5454,n
126.6767,202.7368,89.3158,495.0000,22.7990,n
126.6753,230.7241,104.4655,720.0862,18.3332,n
142.1073,207625.0000,91.5417,510.8333,17.5023,n
120.8984,205.3725,97.6667,533.2745,16.1658,n
122.9882,206.4186,91.7907,590.7907,25.4715,n
105365.0000,211.3600,95.8000,620.3200,20.3566,n
114.1178,211.7500,96.4583,557.5000,21.4664,n
143.6416,206.8000,92.1714,528.9429,25.7649,n
133.8286,202.9091,95.9091,508.5455,15.4733,n
167.9125,213.0000,88.0000,639.0000,8.1093,n
129.1226,215.7692,94.8462,657.5385,17.4487,n
124.1024,208.8125,92.0625,587.1875,17.4320,n
124.8880,232.2361,107.1389,721.3333,21.6012,n
135.6875,208.4286,92.8571,584.1429,15.2114,n
131.1155,202.8036,87.6607,514.2321,25.9230,n
133.3368,215.9167,97.2500,690.8333,18.1881,n
116.0142,214.0909,93.1818,666.4545,28.6898,n
181375.0000,198.6667,88.6667,491.6667,2.6247,n
135.7426,226.7647,104.7059,754.6765,20.0443,n
119.9167,230.5000,102.0000,774.8571,17.6488,n
151.3828,198.7500,83.0000,499.5000,18.2054,n
167.0000,230.0000,109.5000,753.5000,9.2837,n
138.9858,220.5000,93.1364,627.0909,38.3864,n
140.1208,200.8667,87.7000,539.6667,31.1574,n
133.1562,211.7313,96.6269,609.8209,23.8176,n
100.7913,236.0000,98.5385,726.8462,21.3414,n
145.6029,223.8235,98.5294,660.5882,42.4834,n
117.4740,247.8333,117.3333,844.8333,17.6586,n
